User_ID,Date,Category,Amount,Type,Description,Active_Goal_ID,Goal_Name,Goal_Target_Amount,Goal_Deadline
u_100,2025-01-02,Shopping,2677,Debit,Shopping Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-03,Shopping,2044,Debit,Shopping Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-05,Income,50000,Credit,Salary,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-05,Housing,15000,Debit,Rent,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-05,Shopping,1838,Debit,Shopping Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-10,Food,1065,Debit,Food Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-14,Transport,250,Debit,Transport Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-17,Entertainment,628,Debit,Entertainment Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-20,Shopping,2115,Debit,Shopping Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-21,Entertainment,1502,Debit,Entertainment Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-22,Food,465,Debit,Food Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-23,Bills,1353,Debit,Bills Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-24,Transport,267,Debit,Transport Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-26,Food,125,Debit,Food Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-28,Transport,323,Debit,Transport Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-30,Food,1446,Debit,Food Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-01-31,Shopping,1812,Debit,Shopping Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-03,Shopping,2815,Debit,Shopping Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-04,Entertainment,981,Debit,Entertainment Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-05,Income,50000,Credit,Salary,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-05,Housing,15000,Debit,Rent,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-05,Food,430,Debit,Food Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-06,Transport,82,Debit,Transport Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-07,Bills,1232,Debit,Bills Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-08,Health,908,Debit,Health Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-12,Bills,1596,Debit,Bills Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-17,Entertainment,1246,Debit,Entertainment Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-18,Transport,300,Debit,Transport Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-20,Shopping,666,Debit,Shopping Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-21,Food,417,Debit,Food Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-02-27,Shopping,2292,Debit,Shopping Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-03,Health,1884,Debit,Health Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-04,Transport,349,Debit,Transport Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-05,Income,50000,Credit,Salary,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-05,Housing,15000,Debit,Rent,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-06,Entertainment,914,Debit,Entertainment Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-14,Health,701,Debit,Health Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-15,Food,114,Debit,Food Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-17,Transport,102,Debit,Transport Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-19,Food,1192,Debit,Food Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-22,Transport,317,Debit,Transport Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-23,Shopping,1132,Debit,Shopping Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-24,Shopping,2861,Debit,Shopping Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-25,Bills,1217,Debit,Bills Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-27,Food,906,Debit,Food Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-30,Transport,375,Debit,Transport Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-03-31,Bills,1601,Debit,Bills Purchase,g_u_100_1,Home Decor,27635,2025-04-01
u_100,2025-04-05,Income,50000,Credit,Salary,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-04-05,Housing,15000,Debit,Rent,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-04-10,Shopping,599,Debit,Shopping Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-04-13,Bills,860,Debit,Bills Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-04-17,Food,1191,Debit,Food Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-04-18,Bills,938,Debit,Bills Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-04-21,Entertainment,822,Debit,Entertainment Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-04-23,Food,833,Debit,Food Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-04-26,Entertainment,1649,Debit,Entertainment Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-04-28,Health,1694,Debit,Health Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-04-30,Health,306,Debit,Health Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-05-01,Transport,392,Debit,Transport Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-05-05,Income,50000,Credit,Salary,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-05-05,Housing,15000,Debit,Rent,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-05-05,Health,406,Debit,Health Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-05-07,Bills,2415,Debit,Bills Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-05-08,Shopping,1183,Debit,Shopping Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-05-15,Health,285,Debit,Health Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-05-17,Health,368,Debit,Health Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-05-23,Transport,72,Debit,Transport Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-05-26,Food,307,Debit,Food Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-05-30,Shopping,1721,Debit,Shopping Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-06-01,Transport,249,Debit,Transport Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-06-05,Income,50000,Credit,Salary,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-06-05,Housing,15000,Debit,Rent,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-06-07,Health,1293,Debit,Health Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-06-15,Health,341,Debit,Health Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-06-18,Shopping,2806,Debit,Shopping Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-06-22,Transport,286,Debit,Transport Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-06-25,Entertainment,1898,Debit,Entertainment Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-06-26,Bills,2498,Debit,Bills Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_100,2025-06-27,Shopping,2524,Debit,Shopping Purchase,g_u_100_2,Goa Trip,25895,2025-06-30
u_101,2025-01-01,Income,50000,Credit,Salary,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-01-01,Housing,15000,Debit,Rent,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-01-01,Bills,2151,Debit,Bills Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-01-02,Transport,134,Debit,Transport Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-01-05,Bills,1075,Debit,Bills Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-01-06,Bills,2049,Debit,Bills Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-01-07,Bills,542,Debit,Bills Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-01-18,Transport,388,Debit,Transport Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-01-19,Transport,169,Debit,Transport Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-01,Income,50000,Credit,Salary,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-01,Housing,15000,Debit,Rent,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-02,Entertainment,886,Debit,Entertainment Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-05,Bills,1994,Debit,Bills Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-06,Shopping,1205,Debit,Shopping Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-07,Shopping,2568,Debit,Shopping Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-08,Health,1286,Debit,Health Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-09,Health,1083,Debit,Health Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-11,Food,1027,Debit,Food Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-16,Health,1380,Debit,Health Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-17,Entertainment,595,Debit,Entertainment Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-19,Food,291,Debit,Food Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-21,Health,972,Debit,Health Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
u_101,2025-02-25,Shopping,2249,Debit,Shopping Purchase,g_u_101_1,Goa Trip,27867,2025-04-01
